timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-25T00:00:09.311343+00:00,23.72,76.59,1018.33,19.36
2026-09-25T00:15:09.334471+00:00,23.57,75.45,1018.24,18.98
2026-09-25T00:30:09.288985+00:00,23.39,74.58,1018.12,18.62
2026-09-25T00:45:09.353978+00:00,23.22,74.79,1017.98,18.49
2026-09-25T01:00:29.356062+00:00,23.05,75.49,1017.94,18.48
2026-09-25T01:15:09.318648+00:00,22.93,76.01,1017.86,18.47
2026-09-25T01:30:09.335282+00:00,22.82,76.5,1017.61,18.47
2026-09-25T01:45:09.322160+00:00,22.74,77.56,1017.65,18.61
2026-09-25T02:00:26.897024+00:00,22.66,78.33,1017.59,18.69
2026-09-25T02:15:09.311842+00:00,22.55,78.51,1017.49,18.62
2026-09-25T02:30:09.316175+00:00,22.45,78.4,1017.37,18.5
2026-09-25T02:45:09.315354+00:00,22.34,78.94,1017.21,18.51
2026-09-25T03:00:13.057468+00:00,22.27,80.03,1016.99,18.66
2026-09-25T03:15:09.302026+00:00,22.26,81.29,1016.99,18.9
2026-09-25T03:30:09.334793+00:00,22.22,81.74,1016.86,18.95
2026-09-25T03:45:09.310470+00:00,22.07,81.85,1016.83,18.83
2026-09-25T04:00:09.318649+00:00,21.98,82.44,1016.79,18.85
2026-09-25T04:15:09.341146+00:00,21.87,83.2,1016.86,18.89
2026-09-25T04:30:29.352518+00:00,21.81,83.87,1016.83,18.96
2026-09-25T04:45:09.302644+00:00,21.64,83.27,1016.81,18.68
2026-09-25T05:00:09.324598+00:00,21.57,83.69,1016.71,18.69
2026-09-25T05:15:09.325338+00:00,21.51,83.42,1016.84,18.58
2026-09-25T05:30:29.334380+00:00,21.43,82.94,1016.86,18.41
2026-09-25T05:45:09.318835+00:00,21.35,82.32,1016.81,18.21
2026-09-25T06:00:09.320950+00:00,21.28,82.3,1016.96,18.14
2026-09-25T06:15:09.314333+00:00,21.35,81.52,1017.1,18.06
2026-09-25T06:30:09.314369+00:00,21.43,80.88,1017.16,18.01
2026-09-25T06:45:09.339727+00:00,21.61,80.07,1017.24,18.03
2026-09-25T07:00:29.329335+00:00,21.87,79.99,1017.26,18.26
2026-09-25T07:15:09.312530+00:00,22.24,79.65,1017.28,18.55
2026-09-25T07:30:09.306416+00:00,22.62,78.94,1017.23,18.78
2026-09-25T07:45:09.317421+00:00,23.02,78.32,1017.12,19.04
2026-09-25T08:00:29.361040+00:00,23.37,78.21,1017.25,19.36
2026-09-25T08:15:09.318450+00:00,23.76,77.86,1017.28,19.66
2026-09-25T08:30:09.356778+00:00,24.2,76.17,1017.24,19.73
2026-09-25T08:45:09.322479+00:00,24.7,74.71,1017.16,19.91
2026-09-25T09:00:29.336002+00:00,25.21,73.99,1017.11,20.24
2026-09-25T09:15:09.327530+00:00,26.29,73.34,1016.93,21.13
2026-09-25T09:30:09.324000+00:00,31.26,59.54,1016.72,22.44
2026-09-25T09:45:09.307045+00:00,36.21,48.54,1016.49,23.64
2026-09-25T10:00:09.323991+00:00,37.23,44.49,1016.3,23.12
2026-09-25T10:15:09.321646+00:00,35.16,48.31,1016.25,22.6
2026-09-25T10:30:29.357752+00:00,35.35,48.67,1016.06,22.9
2026-09-25T10:45:09.314078+00:00,34.13,50.03,1016.13,22.24
2026-09-25T11:00:09.319724+00:00,33.92,50.84,1015.85,22.31
2026-09-25T11:15:09.321617+00:00,34.07,50.98,1015.77,22.49
2026-09-25T11:30:29.359586+00:00,34.18,50.49,1015.65,22.44
2026-09-25T11:45:09.335441+00:00,33.43,52.12,1015.68,22.27
2026-09-25T12:00:09.305065+00:00,33.59,51.49,1015.47,22.21
2026-09-25T12:15:09.312387+00:00,33.39,52.25,1015.11,22.27
2026-09-25T12:30:29.362294+00:00,34.92,48.37,1014.99,22.41
2026-09-25T12:45:09.323593+00:00,33.92,51.46,1014.92,22.51
2026-09-25T13:00:09.300320+00:00,33.92,51.72,1014.74,22.6
2026-09-25T13:15:09.337287+00:00,33.11,53.08,1014.62,22.27
2026-09-25T13:30:09.313373+00:00,33.37,53.02,1014.56,22.49
2026-09-25T13:45:09.330033+00:00,32.83,54.31,1014.44,22.39
2026-09-25T14:00:29.363500+00:00,32.24,56.25,1014.48,22.42
2026-09-25T14:15:09.307975+00:00,32.05,56.07,1014.32,22.19
2026-09-25T14:30:09.312484+00:00,31.04,57.89,1014.42,21.77
2026-09-25T14:45:09.317798+00:00,31.21,57.71,1014.4,21.88
2026-09-25T15:00:29.336745+00:00,30.61,59.35,1014.36,21.78
2026-09-25T15:15:09.317853+00:00,30.51,60.73,1014.54,22.06
2026-09-25T15:30:09.306615+00:00,29.73,63.87,1014.58,22.15
2026-09-25T15:45:09.314183+00:00,29.7,62.73,1014.52,21.83
2026-09-25T16:00:29.337420+00:00,29.29,64.55,1014.63,21.91
2026-09-25T16:15:09.317805+00:00,29.38,64.57,1014.56,22.0
2026-09-25T16:30:09.301673+00:00,28.71,66.35,1014.67,21.81
2026-09-25T16:45:09.339074+00:00,28.24,67.85,1014.84,21.73
2026-09-25T17:00:09.317964+00:00,27.57,70.9,1014.96,21.82
2026-09-25T17:15:09.307709+00:00,27.19,71.97,1014.93,21.7
2026-09-25T17:30:29.360469+00:00,26.91,72.98,1014.95,21.65
2026-09-25T17:45:09.311979+00:00,26.62,74.3,1015.13,21.66
2026-09-25T18:00:09.287728+00:00,26.32,76.0,1015.08,21.74
2026-09-25T18:15:09.313277+00:00,26.07,76.91,1015.2,21.7
2026-09-25T18:30:26.176594+00:00,26.0,77.2,1015.25,21.69
2026-09-25T18:45:09.342294+00:00,25.77,78.34,1015.29,21.71
2026-09-25T19:00:09.321131+00:00,25.43,79.04,1015.37,21.53
2026-09-25T19:15:09.317322+00:00,25.44,79.41,1015.61,21.61
2026-09-25T19:30:12.315487+00:00,25.4,79.78,1015.63,21.65
2026-09-25T19:45:09.299890+00:00,25.13,80.96,1015.88,21.63
2026-09-25T20:00:09.316568+00:00,25.08,81.27,1016.02,21.65
2026-09-25T20:15:09.325560+00:00,25.06,80.56,1016.14,21.48
2026-09-25T20:30:09.322045+00:00,25.01,80.94,1016.29,21.51
2026-09-25T20:45:09.331729+00:00,24.81,81.55,1016.39,21.44
2026-09-25T21:00:09.326227+00:00,24.61,82.1,1016.34,21.35
2026-09-25T21:15:09.310049+00:00,24.57,82.06,1016.5,21.3
2026-09-25T21:30:09.308729+00:00,24.46,81.37,1016.54,21.06
2026-09-25T21:45:09.300008+00:00,24.32,81.04,1016.7,20.85
2026-09-25T22:00:29.715432+00:00,24.12,81.19,1016.77,20.69
2026-09-25T22:15:09.346918+00:00,23.92,81.44,1016.82,20.55
2026-09-25T22:30:09.296216+00:00,23.79,82.0,1016.82,20.53
2026-09-25T22:45:09.315142+00:00,23.74,82.3,1016.89,20.54
