timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-11T00:00:04.118258+00:00,23.23,78.96,1015.84,19.37
2026-09-11T00:15:04.153875+00:00,23.16,79.8,1015.92,19.47
2026-09-11T00:30:04.123538+00:00,23.04,79.77,1015.78,19.36
2026-09-11T00:45:04.116706+00:00,22.92,80.04,1015.68,19.29
2026-09-11T01:00:04.123100+00:00,22.79,80.66,1015.54,19.29
2026-09-11T01:15:04.121435+00:00,22.69,80.99,1015.38,19.26
2026-09-11T01:30:04.126509+00:00,22.58,81.09,1015.45,19.17
2026-09-11T01:45:04.149303+00:00,22.37,81.11,1015.46,18.97
