timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-14T00:00:04.165349+00:00,23.87,74.05,1020.49,18.96
2026-09-14T00:15:04.114437+00:00,23.71,74.95,1020.48,19.0
2026-09-14T00:30:04.106565+00:00,23.57,75.44,1020.39,18.97
2026-09-14T00:45:04.101296+00:00,23.54,75.92,1020.35,19.04
2026-09-14T01:00:04.125012+00:00,23.52,76.28,1020.19,19.1
2026-09-14T01:15:04.133133+00:00,23.43,76.35,1020.1,19.03
2026-09-14T01:30:04.149301+00:00,23.35,76.37,1020.11,18.95
2026-09-14T01:45:04.137079+00:00,23.22,76.57,1020.11,18.87
2026-09-14T02:00:04.138431+00:00,22.98,77.27,1019.97,18.79
2026-09-14T02:15:04.115625+00:00,22.8,77.65,1020.01,18.69
2026-09-14T02:30:04.124083+00:00,22.6,78.07,1019.87,18.58
2026-09-14T02:45:04.111017+00:00,22.49,78.21,1019.9,18.5
2026-09-14T03:00:04.114968+00:00,22.37,78.59,1019.91,18.47
2026-09-14T03:15:04.153190+00:00,22.25,79.15,1019.81,18.46
2026-09-14T03:30:04.128495+00:00,22.13,79.53,1019.93,18.42
2026-09-14T03:45:04.121413+00:00,22.05,79.76,1019.94,18.39
2026-09-14T04:00:04.107263+00:00,21.96,79.9,1020.0,18.33
2026-09-14T04:15:04.111053+00:00,21.83,80.31,1020.05,18.28
2026-09-14T04:30:04.100894+00:00,21.75,80.46,1020.04,18.24
2026-09-14T04:45:04.126989+00:00,21.66,80.95,1020.06,18.24
2026-09-14T05:00:04.161977+00:00,21.56,81.13,1020.06,18.18
2026-09-14T05:15:04.164737+00:00,21.48,81.68,1020.08,18.21
2026-09-14T05:30:04.109271+00:00,21.43,82.19,1020.18,18.27
2026-09-14T05:45:04.102436+00:00,21.29,81.96,1020.19,18.08
2026-09-14T06:00:04.127245+00:00,21.23,82.16,1020.36,18.06
2026-09-14T06:15:04.105065+00:00,21.19,81.63,1020.57,17.92
2026-09-14T06:30:04.106548+00:00,21.33,81.27,1020.59,17.99
2026-09-14T06:45:04.101908+00:00,21.58,80.63,1020.7,18.1
2026-09-14T07:00:04.115106+00:00,21.84,79.96,1020.86,18.23
2026-09-14T07:15:04.141911+00:00,22.22,79.24,1020.97,18.45
2026-09-14T07:30:04.115949+00:00,22.72,77.74,1020.94,18.63
2026-09-14T07:45:04.104459+00:00,23.16,76.54,1020.95,18.81
2026-09-14T08:00:04.127428+00:00,23.61,74.85,1021.03,18.89
2026-09-14T08:15:04.120305+00:00,24.08,73.13,1020.94,18.97
2026-09-14T08:30:04.130093+00:00,24.71,72.08,1020.94,19.34
2026-09-14T08:45:04.140470+00:00,25.34,69.35,1020.97,19.32
2026-09-14T09:00:04.155312+00:00,25.69,65.71,1021.21,18.78
2026-09-14T09:15:04.118370+00:00,26.27,64.13,1021.24,18.95
2026-09-14T09:30:03.425793+00:00,26.96,63.1,1021.24,19.34
2026-09-14T09:45:04.116793+00:00,28.19,60.68,1021.31,19.87
2026-09-14T10:00:04.118972+00:00,34.2,48.63,1021.13,21.83
2026-09-14T10:15:04.099296+00:00,41.84,35.01,1020.88,23.25
2026-09-14T10:30:04.111837+00:00,45.12,30.39,1020.93,23.74
2026-09-14T10:45:04.122715+00:00,46.37,29.46,1020.77,24.28
2026-09-14T11:00:04.103311+00:00,46.82,28.03,1020.59,23.83
2026-09-14T11:15:04.122479+00:00,48.34,26.63,1020.66,24.27
2026-09-14T11:30:04.101291+00:00,48.23,26.39,1020.47,24.02
2026-09-14T11:45:04.150404+00:00,48.92,25.81,1020.4,24.23
2026-09-14T12:00:04.136012+00:00,49.47,24.68,1020.31,23.95
2026-09-14T12:15:04.135200+00:00,49.49,24.08,1020.06,23.55
2026-09-14T12:30:04.098173+00:00,49.38,24.21,1019.99,23.55
2026-09-14T12:45:04.113169+00:00,49.44,22.76,1019.89,22.58
2026-09-14T13:00:04.110969+00:00,49.36,24.59,1019.79,23.8
2026-09-14T13:15:04.113645+00:00,48.42,24.86,1019.64,23.2
2026-09-14T13:30:04.109339+00:00,47.31,26.47,1019.31,23.3
2026-09-14T13:45:04.111129+00:00,45.11,28.14,1019.21,22.46
2026-09-14T14:00:04.117625+00:00,43.73,29.48,1019.03,22.04
2026-09-14T14:15:04.147365+00:00,41.51,31.5,1019.07,21.22
2026-09-14T14:30:04.115773+00:00,39.83,34.4,1018.97,21.2
2026-09-14T14:45:04.110782+00:00,39.53,35.83,1018.82,21.61
2026-09-14T15:00:04.111946+00:00,38.72,36.61,1018.81,21.25
