timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-05T00:00:08.673083+00:00,24.22,41.99,1017.5,10.48
2026-09-05T00:15:08.664154+00:00,27.36,39.28,1017.36,12.29
2026-09-05T00:30:08.676226+00:00,27.77,41.12,1017.27,13.36
2026-09-05T00:45:08.664275+00:00,24.27,41.9,1017.36,10.5
2026-09-05T01:00:08.707647+00:00,27.08,39.23,1017.33,12.02
2026-09-05T01:15:08.672448+00:00,27.55,41.08,1017.31,13.14
2026-09-05T01:30:08.681241+00:00,25.84,47.19,1017.26,13.73
2026-09-05T01:45:08.686112+00:00,27.31,46.21,1017.16,14.74
2026-09-05T02:00:08.696003+00:00,27.77,45.51,1017.2,14.93
2026-09-05T02:15:08.695436+00:00,27.85,44.4,1017.16,14.62
2026-09-05T02:30:08.653821+00:00,27.85,43.52,1017.22,14.31
2026-09-05T02:45:08.685037+00:00,27.78,41.74,1017.31,13.6
2026-09-05T03:00:02.262094+00:00,27.74,41.42,1017.36,13.44
2026-09-05T03:15:08.664307+00:00,27.74,41.28,1017.4,13.39
2026-09-05T03:30:08.664506+00:00,28.22,44.67,1017.32,15.04
2026-09-05T03:45:08.677641+00:00,28.36,46.0,1017.31,15.63
2026-09-05T04:00:08.680908+00:00,28.4,47.44,1017.28,16.15
2026-09-05T04:15:08.697113+00:00,28.46,48.81,1017.3,16.65
2026-09-05T04:30:08.687886+00:00,28.47,49.59,1017.26,16.91
2026-09-05T04:45:08.678365+00:00,28.51,50.08,1017.18,17.1
2026-09-05T05:00:08.662010+00:00,28.56,50.53,1017.22,17.28
2026-09-05T05:15:08.721522+00:00,28.58,51.55,1017.2,17.62
2026-09-05T05:30:08.675161+00:00,28.62,52.56,1017.2,17.97
2026-09-05T05:45:02.217853+00:00,28.34,51.53,1017.29,17.39
2026-09-05T06:00:08.679597+00:00,28.35,50.24,1017.61,17.0
2026-09-05T06:15:08.665217+00:00,28.25,47.73,1018.08,16.11
2026-09-05T06:30:02.266965+00:00,28.26,46.38,1018.22,15.66
2026-09-05T06:45:08.693725+00:00,28.22,44.65,1018.31,15.04
2026-09-05T07:00:08.666888+00:00,28.13,43.28,1018.59,14.47
2026-09-05T07:15:08.680282+00:00,28.13,42.81,1018.61,14.3
2026-09-05T07:30:08.682206+00:00,28.13,42.47,1018.7,14.18
2026-09-05T07:45:08.663415+00:00,28.06,41.65,1018.74,13.81
2026-09-05T08:00:08.687072+00:00,28.09,41.54,1018.73,13.8
2026-09-05T08:15:08.696892+00:00,28.09,41.6,1018.82,13.83
2026-09-05T08:30:08.663317+00:00,28.17,41.64,1018.84,13.91
