timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-26T00:00:09.325063+00:00,23.07,82.47,1017.08,19.92
2026-09-26T00:15:09.324248+00:00,22.86,81.27,1016.98,19.48
2026-09-26T00:30:29.361133+00:00,22.71,81.33,1017.12,19.35
2026-09-26T00:45:09.310846+00:00,22.66,81.91,1017.13,19.41
2026-09-26T01:00:09.316531+00:00,22.85,82.24,1017.15,19.66
2026-09-26T01:15:09.299893+00:00,23.13,82.28,1017.07,19.94
2026-09-26T01:30:29.352992+00:00,23.13,83.49,1017.14,20.18
2026-09-26T01:45:09.296194+00:00,23.19,84.56,1017.19,20.44
2026-09-26T02:00:09.302483+00:00,23.35,85.52,1017.2,20.78
2026-09-26T02:15:09.313554+00:00,23.61,86.1,1017.16,21.15
2026-09-26T02:30:09.317977+00:00,23.7,85.77,1017.11,21.17
2026-09-26T02:45:09.320656+00:00,23.82,85.49,1017.16,21.23
2026-09-26T03:00:29.356222+00:00,23.92,85.32,1017.31,21.3
2026-09-26T03:15:09.324535+00:00,23.95,84.84,1017.34,21.24
2026-09-26T03:30:09.330262+00:00,24.01,84.86,1017.37,21.3
2026-09-26T03:45:09.301650+00:00,24.1,85.34,1017.36,21.48
2026-09-26T04:00:29.393278+00:00,24.15,84.84,1017.26,21.44
2026-09-26T04:15:09.308041+00:00,24.2,84.74,1017.41,21.46
2026-09-26T04:30:09.357103+00:00,24.21,83.78,1017.44,21.29
2026-09-26T04:45:09.316842+00:00,24.23,83.18,1017.6,21.19
2026-09-26T05:00:29.329113+00:00,24.07,81.94,1017.49,20.79
2026-09-26T05:15:09.313822+00:00,23.57,81.88,1017.68,20.29
2026-09-26T05:30:09.332282+00:00,23.26,82.98,1017.68,20.21
2026-09-26T05:45:09.310096+00:00,23.06,83.56,1017.66,20.12
2026-09-26T06:00:09.301060+00:00,22.9,84.1,1017.88,20.07
2026-09-26T06:15:09.369033+00:00,22.85,84.5,1018.09,20.1
2026-09-26T06:30:29.330189+00:00,22.88,84.3,1018.4,20.09
2026-09-26T06:45:09.322729+00:00,22.99,84.26,1018.37,20.19
2026-09-26T07:00:09.296707+00:00,23.37,83.4,1018.3,20.4
2026-09-26T07:15:09.302284+00:00,23.74,82.69,1018.41,20.61
2026-09-26T07:30:29.374319+00:00,24.14,82.0,1018.49,20.87
2026-09-26T07:45:09.306363+00:00,24.46,81.14,1018.57,21.01
2026-09-26T08:00:09.304741+00:00,24.86,80.46,1018.64,21.26
2026-09-26T08:15:09.316076+00:00,25.47,77.23,1018.86,21.19
2026-09-26T08:30:29.369483+00:00,26.24,74.54,1018.9,21.36
2026-09-26T08:45:09.301080+00:00,27.18,71.73,1018.98,21.63
2026-09-26T09:00:09.314109+00:00,27.67,67.28,1019.0,21.05
2026-09-26T09:15:09.309800+00:00,29.02,65.33,1019.04,21.85
2026-09-26T09:30:29.344236+00:00,34.26,54.16,1018.88,23.67
2026-09-26T09:45:09.320290+00:00,36.74,48.93,1018.84,24.26
2026-09-26T10:00:29.360478+00:00,35.65,48.38,1018.89,23.07
2026-09-26T10:15:09.303392+00:00,37.75,45.76,1018.87,24.05
2026-09-26T10:30:09.300601+00:00,42.57,38.35,1018.69,25.41
2026-09-26T10:45:09.297858+00:00,44.55,34.85,1018.62,25.53
2026-09-26T11:00:25.446372+00:00,44.18,33.48,1018.54,24.54
2026-09-26T11:15:09.336317+00:00,46.46,30.52,1018.41,24.96
