timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-09T00:00:05.139713+00:00,26.64,69.15,1008.89,20.51
2026-09-09T00:15:05.131100+00:00,26.49,69.2,1008.89,20.39
2026-09-09T00:30:05.127863+00:00,26.23,70.73,1008.72,20.49
2026-09-09T00:45:05.134327+00:00,26.14,72.45,1008.68,20.8
2026-09-09T01:00:05.134885+00:00,25.98,73.6,1008.5,20.9
2026-09-09T01:15:03.193673+00:00,25.84,73.29,1008.34,20.69
2026-09-09T01:30:05.159720+00:00,25.66,73.49,1008.12,20.57
2026-09-09T01:45:05.158194+00:00,25.57,73.73,1008.01,20.53
2026-09-09T02:00:05.162685+00:00,25.45,73.76,1007.91,20.42
2026-09-09T02:15:05.142205+00:00,25.21,73.3,1007.83,20.09
2026-09-09T02:30:05.153813+00:00,25.05,73.1,1007.76,19.89
2026-09-09T02:45:05.128128+00:00,24.89,72.2,1007.76,19.53
2026-09-09T03:00:05.128805+00:00,24.71,71.79,1007.81,19.28
2026-09-09T03:15:05.131354+00:00,24.58,69.9,1007.81,18.72
2026-09-09T03:30:04.235063+00:00,24.55,67.73,1007.73,18.19
2026-09-09T03:45:05.138506+00:00,24.47,67.51,1007.67,18.06
2026-09-09T04:00:05.128249+00:00,24.29,65.95,1007.65,17.52
2026-09-09T04:15:05.148767+00:00,24.24,63.94,1007.66,16.98
2026-09-09T04:30:03.233042+00:00,24.27,61.89,1007.65,16.49
2026-09-09T04:45:05.132354+00:00,24.21,60.24,1007.71,16.02
2026-09-09T05:00:05.146454+00:00,24.1,58.31,1007.66,15.4
2026-09-09T05:15:05.128354+00:00,24.04,57.67,1007.62,15.18
2026-09-09T05:30:05.140864+00:00,24.0,55.41,1007.76,14.51
2026-09-09T05:45:05.136623+00:00,24.05,52.41,1007.74,13.7
2026-09-09T06:00:05.146333+00:00,24.26,48.77,1007.9,12.79
2026-09-09T06:15:05.121786+00:00,24.59,47.66,1008.03,12.74
2026-09-09T06:30:05.143185+00:00,24.95,47.02,1007.99,12.86
2026-09-09T06:45:05.111365+00:00,25.2,47.1,1008.11,13.12
2026-09-09T07:00:04.204205+00:00,25.62,46.32,1008.15,13.24
2026-09-09T07:15:05.151055+00:00,26.22,44.43,1008.22,13.14
2026-09-09T07:30:05.128047+00:00,27.0,42.81,1008.23,13.28
2026-09-09T07:45:05.133360+00:00,27.67,42.15,1008.16,13.65
2026-09-09T08:00:05.165029+00:00,28.4,40.54,1008.12,13.7
2026-09-09T08:15:05.135120+00:00,29.14,34.47,1008.19,11.88
2026-09-09T08:30:05.128362+00:00,29.74,33.02,1008.25,11.75
2026-09-09T08:45:05.146096+00:00,29.65,34.34,1008.23,12.27
2026-09-09T09:00:05.161325+00:00,29.94,34.38,1008.39,12.54
2026-09-09T09:15:05.136541+00:00,30.65,34.32,1008.43,13.13
2026-09-09T09:30:05.122755+00:00,31.46,31.49,1008.42,12.52
2026-09-09T09:45:05.156772+00:00,32.31,30.88,1008.18,12.96
2026-09-09T10:00:05.132713+00:00,33.87,30.01,1008.06,13.87
2026-09-09T10:15:05.131970+00:00,40.87,24.15,1007.86,16.42
2026-09-09T10:30:05.124301+00:00,48.16,19.39,1007.7,18.93
2026-09-09T10:45:05.113069+00:00,49.33,21.26,1007.64,21.37
2026-09-09T11:00:05.165346+00:00,49.0,23.13,1007.68,22.48
2026-09-09T11:15:05.154222+00:00,49.8,26.32,1007.68,25.3
2026-09-09T11:30:05.131126+00:00,50.52,26.2,1007.39,25.82
2026-09-09T11:45:05.163215+00:00,49.28,27.8,1007.24,25.78
2026-09-09T12:00:05.165105+00:00,45.2,34.57,1007.45,25.96
2026-09-09T12:15:05.138132+00:00,40.76,41.91,1007.64,25.29
