timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-04T00:48:32.908657+00:00,25.24,41.16,1019.17,11.1
2026-09-04T01:00:08.649226+00:00,26.86,38.73,1019.05,11.63
2026-09-04T01:15:08.664205+00:00,27.79,41.59,1018.77,13.55
2026-09-04T01:30:08.657862+00:00,24.87,41.73,1018.81,10.98
2026-09-04T01:45:08.690364+00:00,25.64,42.96,1018.65,12.11
2026-09-04T02:00:08.705383+00:00,27.66,43.28,1018.39,14.04
2026-09-04T02:15:08.674648+00:00,28.08,44.49,1018.44,14.85
2026-09-04T02:30:08.685869+00:00,28.28,45.9,1018.36,15.52
2026-09-04T02:45:08.684363+00:00,28.38,47.37,1018.27,16.11
2026-09-04T03:00:08.659597+00:00,28.48,48.1,1018.15,16.43
2026-09-04T03:15:08.698776+00:00,28.53,49.0,1018.05,16.78
2026-09-04T03:30:08.665185+00:00,28.62,49.82,1017.88,17.12
2026-09-04T03:45:08.677019+00:00,28.66,50.64,1017.78,17.42
2026-09-04T04:00:08.672980+00:00,28.68,51.48,1017.87,17.69
2026-09-04T04:15:08.681205+00:00,28.71,51.74,1017.96,17.8
2026-09-04T04:30:08.672560+00:00,26.8,51.82,1018.09,16.07
