timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-23T00:00:09.295512+00:00,22.54,69.64,1017.34,16.71
2026-09-23T00:15:09.328148+00:00,22.4,69.79,1017.26,16.61
2026-09-23T00:30:29.199039+00:00,22.24,69.71,1017.29,16.44
2026-09-23T00:45:09.328250+00:00,22.1,69.68,1017.39,16.3
2026-09-23T01:00:09.306966+00:00,21.93,69.97,1017.3,16.2
2026-09-23T01:15:09.309344+00:00,21.79,70.24,1017.34,16.13
2026-09-23T01:30:15.325341+00:00,21.61,70.19,1017.33,15.94
2026-09-23T01:45:09.310428+00:00,21.45,69.95,1017.31,15.74
2026-09-23T02:00:09.322811+00:00,21.33,70.1,1017.24,15.65
2026-09-23T02:15:09.316901+00:00,21.15,70.15,1017.14,15.5
2026-09-23T02:30:09.305391+00:00,21.02,69.82,1017.13,15.3
2026-09-23T02:45:09.326751+00:00,20.82,68.7,1017.04,14.85
2026-09-23T03:00:29.347110+00:00,20.64,68.14,1017.14,14.55
2026-09-23T03:15:09.302926+00:00,20.42,67.86,1017.06,14.28
2026-09-23T03:30:09.326917+00:00,20.2,68.12,1017.26,14.13
2026-09-23T03:45:09.313475+00:00,20.04,68.26,1017.26,14.01
2026-09-23T04:00:29.323446+00:00,19.89,67.87,1017.46,13.78
2026-09-23T04:15:09.300163+00:00,19.8,68.06,1017.53,13.74
2026-09-23T04:30:09.295414+00:00,19.82,67.94,1017.69,13.72
2026-09-23T04:45:03.016967+00:00,19.81,67.7,1017.83,13.66
2026-09-23T05:00:09.319903+00:00,19.76,67.82,1017.82,13.64
2026-09-23T05:15:09.339667+00:00,19.67,68.09,1018.12,13.61
2026-09-23T05:30:29.365733+00:00,19.49,68.19,1018.13,13.47
2026-09-23T05:45:09.305524+00:00,19.35,68.51,1018.19,13.41
2026-09-23T06:00:09.313923+00:00,19.33,68.37,1018.36,13.36
2026-09-23T06:15:09.301000+00:00,19.43,68.24,1018.4,13.42
2026-09-23T06:30:29.335388+00:00,19.58,67.65,1018.69,13.43
2026-09-23T06:45:09.327792+00:00,19.75,66.9,1018.72,13.42
2026-09-23T07:00:09.302762+00:00,19.98,66.59,1018.86,13.57
2026-09-23T07:15:09.346371+00:00,20.3,66.34,1018.84,13.82
2026-09-23T07:30:29.344691+00:00,20.76,66.31,1018.93,14.24
2026-09-23T07:45:09.311130+00:00,21.2,66.5,1018.98,14.71
2026-09-23T08:00:09.303323+00:00,21.63,67.06,1019.12,15.25
2026-09-23T08:15:09.316824+00:00,22.18,68.51,1019.22,16.11
2026-09-23T08:30:09.309215+00:00,22.84,69.27,1019.31,16.92
2026-09-23T08:45:09.315675+00:00,23.44,69.27,1019.41,17.49
2026-09-23T09:00:29.330207+00:00,24.2,68.79,1019.54,18.1
2026-09-23T09:15:09.319592+00:00,24.94,67.01,1019.63,18.39
2026-09-23T09:30:09.294696+00:00,29.07,59.98,1019.48,20.51
2026-09-23T09:45:09.324216+00:00,38.21,39.74,1019.27,22.13
2026-09-23T10:00:29.355616+00:00,43.05,33.49,1019.32,23.56
2026-09-23T10:15:09.311507+00:00,44.7,30.24,1019.42,23.29
2026-09-23T10:30:09.305688+00:00,45.64,29.67,1019.34,23.78
2026-09-23T10:45:09.306246+00:00,46.34,29.82,1019.28,24.46
2026-09-23T11:00:29.368707+00:00,47.76,27.63,1019.23,24.39
2026-09-23T11:15:09.349867+00:00,47.91,28.45,1019.14,25.01
2026-09-23T11:30:09.320187+00:00,48.22,28.56,1019.12,25.34
2026-09-23T11:45:09.300755+00:00,47.97,28.4,1019.11,25.03
2026-09-23T12:00:09.344646+00:00,48.0,28.68,1018.97,25.22
2026-09-23T12:15:09.312776+00:00,49.16,27.69,1018.78,25.61
