timestamp,temp_c,humidity_pct,pressure_hpa,dew_point_c
2026-09-21T00:00:17.597087+00:00,22.15,76.03,1023.52,17.73
2026-09-21T00:15:09.342536+00:00,22.04,76.34,1023.43,17.68
2026-09-21T00:30:09.323655+00:00,21.91,77.0,1023.29,17.7
2026-09-21T00:45:09.295658+00:00,21.76,77.3,1023.34,17.61
2026-09-21T01:00:29.344069+00:00,21.62,77.64,1023.19,17.55
2026-09-21T01:15:09.312974+00:00,21.47,77.93,1023.06,17.45
2026-09-21T01:30:29.327028+00:00,21.35,78.54,1023.05,17.46
2026-09-21T01:45:09.323613+00:00,21.24,78.94,1023.07,17.44
2026-09-21T02:00:09.333023+00:00,21.18,79.6,1023.03,17.51
2026-09-21T02:15:09.327538+00:00,21.02,80.14,1022.92,17.46
2026-09-21T02:30:29.347826+00:00,20.85,80.45,1022.73,17.36
2026-09-21T02:45:09.305650+00:00,20.74,81.03,1022.59,17.36
2026-09-21T03:00:09.312995+00:00,20.61,81.36,1022.62,17.3
2026-09-21T03:15:09.317592+00:00,20.51,81.49,1022.62,17.23
2026-09-21T03:30:09.359958+00:00,20.39,81.71,1022.56,17.16
2026-09-21T03:45:09.304569+00:00,20.4,81.27,1022.51,17.08
2026-09-21T04:00:15.360443+00:00,20.34,80.96,1022.62,16.97
2026-09-21T04:15:09.311009+00:00,20.24,80.91,1022.69,16.86
2026-09-21T04:30:09.323900+00:00,20.17,80.85,1022.63,16.78
2026-09-21T04:45:09.341991+00:00,20.11,81.22,1022.64,16.79
2026-09-21T05:00:29.369119+00:00,20.09,80.62,1022.8,16.65
2026-09-21T05:15:09.330004+00:00,20.02,80.34,1022.81,16.52
2026-09-21T05:30:09.335142+00:00,19.83,80.67,1023.09,16.41
2026-09-21T05:45:09.322122+00:00,19.77,80.74,1023.22,16.37
2026-09-21T06:00:29.334285+00:00,19.7,80.73,1023.35,16.29
2026-09-21T06:15:09.304420+00:00,19.72,80.32,1023.43,16.23
2026-09-21T06:30:09.320164+00:00,19.87,79.89,1023.49,16.29
2026-09-21T06:45:09.315530+00:00,20.1,79.25,1023.51,16.39
2026-09-21T07:00:09.327206+00:00,20.36,78.06,1023.58,16.4
2026-09-21T07:15:09.319542+00:00,20.66,77.47,1023.52,16.58
2026-09-21T07:30:29.347618+00:00,21.05,76.37,1023.54,16.73
2026-09-21T07:45:09.305175+00:00,21.51,74.35,1023.54,16.75
2026-09-21T08:00:09.302811+00:00,21.96,72.4,1023.56,16.77
2026-09-21T08:15:09.326362+00:00,22.45,70.87,1023.54,16.9
2026-09-21T08:30:29.326666+00:00,22.95,70.33,1023.44,17.26
2026-09-21T08:45:09.316630+00:00,23.54,70.59,1023.54,17.88
2026-09-21T09:00:09.312835+00:00,24.1,70.46,1023.57,18.39
2026-09-21T09:15:09.336936+00:00,24.93,67.05,1023.55,18.39
2026-09-21T09:30:29.357142+00:00,26.97,64.0,1023.61,19.58
2026-09-21T09:45:09.342626+00:00,35.2,48.19,1023.34,22.6
2026-09-21T10:00:09.303055+00:00,38.81,39.69,1023.18,22.65
2026-09-21T10:15:09.303949+00:00,43.36,34.02,1023.06,24.1
2026-09-21T10:30:09.309527+00:00,45.28,30.62,1022.94,23.99
2026-09-21T10:45:09.305946+00:00,45.47,29.26,1022.93,23.4
2026-09-21T11:00:29.360550+00:00,46.79,27.59,1022.72,23.55
2026-09-21T11:15:09.316524+00:00,46.85,27.05,1022.55,23.28
2026-09-21T11:30:09.340672+00:00,47.82,26.06,1022.29,23.47
2026-09-21T11:45:09.308942+00:00,46.32,25.88,1022.18,22.1
2026-09-21T12:00:29.342636+00:00,47.43,26.32,1021.8,23.31
2026-09-21T12:15:09.315658+00:00,47.71,25.96,1021.67,23.31
2026-09-21T12:30:09.333085+00:00,48.62,25.06,1021.42,23.49
2026-09-21T12:45:09.312337+00:00,48.42,23.56,1021.16,22.3
2026-09-21T13:00:29.341647+00:00,47.34,23.47,1020.85,21.35
2026-09-21T13:15:09.314005+00:00,47.39,24.86,1020.77,22.33
2026-09-21T13:30:09.316942+00:00,46.11,25.83,1020.8,21.88
2026-09-21T13:45:09.296376+00:00,45.35,26.16,1020.64,21.46
2026-09-21T14:00:09.307547+00:00,44.87,25.78,1020.45,20.82
2026-09-21T14:15:09.318540+00:00,43.63,26.7,1020.16,20.34
2026-09-21T14:30:29.329595+00:00,41.44,28.07,1020.03,19.29
2026-09-21T14:45:09.303600+00:00,39.96,29.8,1019.97,18.99
2026-09-21T15:00:09.317929+00:00,38.96,31.21,1019.86,18.87
2026-09-21T15:15:09.312368+00:00,38.37,31.96,1019.85,18.74
2026-09-21T15:30:29.340197+00:00,37.81,32.85,1019.71,18.69
2026-09-21T15:45:09.327741+00:00,37.06,34.4,1019.68,18.78
2026-09-21T16:00:09.296993+00:00,36.81,34.06,1019.74,18.41
2026-09-21T16:15:09.321687+00:00,36.38,35.54,1019.68,18.71
2026-09-21T16:30:16.819031+00:00,35.42,37.21,1019.6,18.6
2026-09-21T16:45:09.338155+00:00,34.69,41.04,1019.76,19.52
2026-09-21T17:00:09.303334+00:00,33.71,41.23,1019.8,18.72
2026-09-21T17:15:09.303985+00:00,32.26,44.46,1019.89,18.62
2026-09-21T17:30:09.320219+00:00,31.15,47.7,1019.77,18.74
2026-09-21T17:45:09.305639+00:00,30.33,50.33,1019.81,18.85
2026-09-21T18:00:29.392079+00:00,29.52,55.32,1019.85,19.62
2026-09-21T18:15:09.325361+00:00,28.95,55.83,1019.89,19.24
